Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,694,RSQu,Russell Square,Station entry / exit,Relate,"18,960",0,"12,688","9,990","16,656",0,"12,317","9,299","10,853,914"
LU,698,SVSu,Seven Sisters,Station entry / exit,Relate,"28,355",0,"23,861","17,424","26,646",0,"22,212","16,762","17,340,179"
LU,700,SBCu,Shepherd's Bush LU,Station entry / exit,Relate,"35,840",0,"31,455","20,749","31,808",0,"28,881","19,340","21,410,922"
LU,775,SBMu,Shepherd's Bush Market,Station entry / exit,Relate,"5,846",0,"5,077","3,084","5,424",0,"4,628","3,203","3,530,961"
LU,702,SSQu,Sloane Square,Station entry / exit,Relate,"27,847",0,"18,087","12,250","27,104",0,"18,207","12,148","16,372,926"
LU,703,SNBu,Snaresbrook,Station entry / exit,Relate,"5,596",0,"2,776","1,754","4,055",0,"2,562","1,753","2,787,010"
LU,704,SELu,South Ealing,Station entry / exit,Relate,"5,789",0,"4,409","2,847","5,650",0,"3,988","2,805","3,477,368"
LU,707,SHRu,South Harrow,Station entry / exit,Relate,"3,444",0,"2,331","1,570","3,619",0,"2,350","1,612","2,107,487"
LU,708,SKNu,South Kensington,Station entry / exit,Relate,"50,391",0,"42,818","34,161","49,744",0,"44,056","33,783","31,994,140"
LU,709,SKTu,South Kenton,Station entry / exit,Scaled,"1,858",0,"1,184",696,"2,099",0,"1,086",768,"1,147,945"
LU,710,SRPu,South Ruislip,Station entry / exit,Relate,"3,364",0,"2,125","1,323","3,190",0,"1,971","1,279","1,926,405"
